"[462.0, -62.0, 254, 250]","[0, 0, 1]"
"[402.0, -2.0, 31, 285]","[0, 0, 1]"
"[314.0, 86.0, 443, 138]","[1, 0, 0]"
"[570.0, -170.0, 530, 33]","[0, 1, 0]"
"[214.0, 186.0, 124, 68]","[0, 0, 1]"
"[378.0, 22.0, 572, 117]","[1, 0, 0]"
"[398.0, 2.0, 588, 103]","[1, 0, 0]"
"[330.0, 70.0, 655, 495]","[0, 1, 0]"
"[438.0, -38.0, 291, 166]","[0, 0, 1]"
"[350.0, 50.0, 640, 257]","[1, 0, 0]"
"[398.0, 2.0, 202, 173]","[0, 0, 1]"
"[286.0, 114.0, 550, 89]","[0, 1, 0]"
"[358.0, 42.0, 182, 208]","[0, 0, 1]"
"[222.0, 178.0, 15, 82]","[0, 0, 1]"
"[414.0, -14.0, 40, 551]","[0, 1, 0]"
"[350.0, 50.0, 189, 138]","[0, 0, 1]"
"[330.0, 70.0, 419, 131]","[1, 0, 0]"
"[466.0, -66.0, 60, 26]","[0, 1, 0]"
"[522.0, -122.0, 320, 362]","[0, 1, 0]"
"[438.0, -38.0, 281, 264]","[0, 0, 1]"
"[410.0, -10.0, 230, 166]","[0, 0, 1]"
"[306.0, 94.0, 584, 75]","[0, 1, 0]"
"[466.0, -66.0, 60, 19]","[0, 1, 0]"
"[330.0, 70.0, 584, 264]","[0, 1, 0]"
"[426.0, -26.0, 327, 131]","[0, 0, 1]"
"[394.0, 6.0, 333, 75]","[0, 0, 1]"
"[242.0, 158.0, 692, 362]","[0, 0, 1]"
"[366.0, 34.0, 669, 166]","[1, 0, 0]"
"[466.0, -66.0, 271, 418]","[0, 0, 1]"
"[462.0, -62.0, 545, 180]","[1, 0, 0]"
"[402.0, -2.0, 283, 110]","[0, 0, 1]"
"[486.0, -86.0, 300, 327]","[0, 0, 1]"
"[254.0, 146.0, 405, 355]","[0, 1, 0]"
"[474.0, -74.0, 339, 467]","[0, 1, 0]"
"[278.0, 122.0, 178, 103]","[0, 0, 1]"
"[286.0, 114.0, 629, 166]","[0, 1, 0]"
"[346.0, 54.0, 509, 502]","[0, 1, 0]"
"[398.0, 2.0, 319, 103]","[0, 0, 1]"
"[330.0, 70.0, 649, 453]","[1, 0, 0]"
"[142.0, 258.0, 590, 257]","[0, 0, 1]"
